web-scraper-order,web-scraper-start-url,menu_bar,menu_bar-href,health_topics,health_topics-href,news_articles,news_articles-href,title,author,date,content
"1597634911-380","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Women's Health","https://www.webmd.com/women/default.htm","Pregnancy Discharge: Color and Texture Changes","https://www.webmd.com/women/features/pregnancy-discharge-changes","Pregnancy Discharge: Color and Texture Changes","","null","A very strong odor, itching, or burning could be signs of a bacterial or yeast infection, which are more common during pregnancy because of hormonal changes, Hernandez adds. A green or yellow color to the discharge is another sign of infection."
"1597635586-462","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Food & Recipes","https://www.webmd.com/food-recipes/default.htm","Hundreds Sickened by Parasite in Bagged Salad","https://www.webmd.com/food-recipes/food-poisoning/news/20200727/hundreds-sickened-by-parasite-in-bagged-salad","Hundreds Sickened by Parasite in Bagged Salad","July 27, 2020 -- An outbreak in bagged salads has sickened 641 people in 11 states, the FDA says.","null","The telltale symptom of cyclospora infection is a lot of foul-smelling, watery diarrhea that comes and goes. Patients often have gas and low-grade fevers or flu-like symptoms, which can last for several weeks."
"1597635538-453","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Weight Loss & Diet Plans","https://www.webmd.com/diet/default.htm","Fast Food Makes an Unhealthy Comeback Among Kids","https://www.webmd.com/diet/news/20200814/fast-food-makes-an-unhealthy-comeback-among-kids","Fast Food Makes an Unhealthy Comeback Among Kids","By Amy Norton 
HealthDay Reporter","FRIDAY, Aug. 14, 2020 (HealthDay News) -- After a period of improvement, U.S. kids are eating as much fast food as they were in the early 2000s, new government figures show.","But a recent Rudd study found that 70% of teens ""engaged with"" food and beverage brands on social media -- meaning they followed the brands, or ""liked"" or shared their content. More than half of kids said they engaged with fast-food brands."
"1597634759-336","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Men's Health","https://www.webmd.com/men/default.htm","Stop Avoiding That Doctor’s Appointment","https://www.webmd.com/men/features/men-avoiding-doctor-appointments","Stop Avoiding That Doctor’s Appointment","Guys, make time to visit the doctor.","What should I bring to my appointment?","Of course, some health issues do not cause noticeable symptoms. High blood pressure increases your risk of heart attack and stroke, but you won’t know you have it unless you get a checkup. All the more reason to make doctor visits routine."
"1597634708-324","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Teen Boys","https://teens.webmd.com/boys/default.htm","Stress-Prone Teen Boys May Risk High BP Later","https://teens.webmd.com/boys/news/20160201/stress-prone-teen-males-may-be-at-risk-of-high-blood-pressure-later","Stress-Prone Teen Boys May Risk High BP Later","By Robert Preidt","","The research was based on data from more than 1.5 million men conscripted into the Swedish army between 1969 and 1997 at age 18. Their health was followed until the end of 2012. None of them had high blood pressure when they entered the military. All of the young men were assessed for their ability to handle stress."
"1597634809-350","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Men's Health","https://www.webmd.com/men/default.htm","Leonardo's Vitruvian Man Close to Modern Measures","https://www.webmd.com/men/news/20200610/leonardos-vitruvian-man-close-to-modern-measures","Leonardo's Vitruvian Man Close to Modern Measures","null","TUESDAY, June 9, 2020 (HealthDay News) -- More than five centuries ago, Renaissance master Leonardo da Vinci produced a now-famous image of what he considered the perfectly proportioned male body: the ""Vitruvian Man.""","""Vitruvian Man"" is an iconic drawing by Leonardo from 1490 in which an adult male stands, legs together and then apart, inside a circle and square whose borders end at his head, outstretched hands and feet. It's meant to depict the ideal adult male body."
"1597635586-463","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Food & Recipes","https://www.webmd.com/food-recipes/default.htm","Hundreds Sickened by Parasite in Bagged Salad","https://www.webmd.com/food-recipes/food-poisoning/news/20200727/hundreds-sickened-by-parasite-in-bagged-salad","Hundreds Sickened by Parasite in Bagged Salad","July 27, 2020 -- An outbreak in bagged salads has sickened 641 people in 11 states, the FDA says.","null","People can be hospitalized for dehydration linked to prolonged diarrhea."
"1597634681-314","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Teen Boys","https://teens.webmd.com/boys/default.htm","Excess Weight: 'Unexpected' Boys' Puberty Effect","https://teens.webmd.com/boys/news/20160127/excess-weight-has-unexpected-effect-on-puberty-onset-in-boys","Excess Weight: 'Unexpected' Boys' Puberty Effect","By Dennis Thompson","WEDNESDAY, Jan. 27, 2016 (HealthDay News) -- Excess weight can delay or speed up puberty in young boys, depending on how many extra pounds they carry, a new study suggests.","Fat cells produce aromatase -- the enzyme that synthesizes estrogen from other sex hormones. ""When you have excess fat in the body, you have excess estrogen production in the body,"" Lee said."
"1597634870-360","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Women's Health","https://www.webmd.com/women/default.htm","Diagnosing Mild Cognitive Impairment in Women","https://www.webmd.com/women/features/mild-cognitive-impairment-women","Diagnosing Mild Cognitive Impairment in Women","","Sundermann suggests that when women have concerns about their memory, they keep these things in mind:","So, how can doctors tell what’s normal? New research suggests it depends on your sex."
"1597634911-379","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Women's Health","https://www.webmd.com/women/default.htm","Pregnancy Discharge: Color and Texture Changes","https://www.webmd.com/women/features/pregnancy-discharge-changes","Pregnancy Discharge: Color and Texture Changes","","null","The extra discharge is due to a boost in estrogen production and increased blood flow early in pregnancy, she says. When normal, it should be somewhat thick, clear to white in color, and odorless."
"1597634911-377","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Women's Health","https://www.webmd.com/women/default.htm","Pregnancy Discharge: Color and Texture Changes","https://www.webmd.com/women/features/pregnancy-discharge-changes","Pregnancy Discharge: Color and Texture Changes","","null","Every woman has discharge, whether she’s pregnant or not. Discharge is made up of fluid and dead cells. It’s a natural way for the cells of your vagina and cervix to renew themselves. During the early months of your pregnancy, you might see much more than usual."
"1597635538-448","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Weight Loss & Diet Plans","https://www.webmd.com/diet/default.htm","Fast Food Makes an Unhealthy Comeback Among Kids","https://www.webmd.com/diet/news/20200814/fast-food-makes-an-unhealthy-comeback-among-kids","Fast Food Makes an Unhealthy Comeback Among Kids","By Amy Norton 
HealthDay Reporter","FRIDAY, Aug. 14, 2020 (HealthDay News) -- After a period of improvement, U.S. kids are eating as much fast food as they were in the early 2000s, new government figures show.","The positive trend was short-lived, however. By 2018, that figure was back up to 14%."
"1597635318-416","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Sex & Relationships","https://www.webmd.com/sex-relationships/default.htm","Many Teens Suffer 'Digital Dating Abuse'","https://www.webmd.com/sex-relationships/news/20200219/texting-trauma-many-teens-suffer-digital-dating-abuse","Many Teens Suffer 'Digital Dating Abuse'","By Amy Norton 
HealthDay Reporter","WEDNESDAY, Feb. 19, 2020 (HealthDay News) -- Many U.S. teenagers may be using their smartphones to harass, humiliate or otherwise abuse their dating partners.","Another key finding runs counter to what many people might expect, according to Hinduja. Boys were significantly more likely than girls to say they'd been digitally abused. About 32% of boys reported it, compared to about 24% of girls."
"1597635490-436","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Weight Loss & Diet Plans","https://www.webmd.com/diet/default.htm","Coffee: Good for You or Not?","https://www.webmd.com/diet/news/20200722/coffee-good-for-you-or-not","Coffee: Good for You or Not?","By Amy Norton 
HealthDay Reporter","WEDNESDAY, July 22, 2020 (HealthDay News) -- Coffee has been tied to many potential health benefits, but people should drink it for pleasure, and not disease prevention.","Lauri Wright is chair of nutrition and dietetics at the University of North Florida, and a spokesperson for the Academy of Nutrition and Dietetics."
"1597634870-366","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Women's Health","https://www.webmd.com/women/default.htm","Diagnosing Mild Cognitive Impairment in Women","https://www.webmd.com/women/features/mild-cognitive-impairment-women","Diagnosing Mild Cognitive Impairment in Women","","Sundermann suggests that when women have concerns about their memory, they keep these things in mind:","“With current scoring methods, we are diagnosing men at the right time, but we are diagnosing women later when the disease is more advanced,” Sundermann says."
"1597635134-398","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Balance","https://www.webmd.com/balance/default.htm","Many Stay Optimistic for Most of Their Lives","https://www.webmd.com/balance/news/20200806/many-stay-optimistic-until-old-age-hits","Many Stay Optimistic for Most of Their Lives","By Robert Preidt 
HealthDay Reporter","THURSDAY, Aug. 6, 2020 (HealthDay News) -- People tend to be optimistic for most of their life, even when they have to cope with serious challenges, a new study finds.","""There's a massive stretch of life during which you keep consistently looking forward to things and the future,"" he said. ""Part of that has to do with experiencing success both in work and life."
"1597635359-417","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Sex & Relationships","https://www.webmd.com/sex-relationships/default.htm","More Young Americans Are Going Without Sex","https://www.webmd.com/sex-relationships/news/20200612/more-young-americans-are-going-without-sex","More Young Americans Are Going Without Sex","null","FRIDAY, June 12, 2020 (HealthDay News) -- Sex, and lots of it, has long been the primary preoccupation of young adults, but more of them are now going months and years without any intimate encounters.","New research shows that one of three men between the ages of 18 to 24 have not had any sex during the past year, putting to rest all the talk of the ""hookup culture."""
"1597634809-355","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Men's Health","https://www.webmd.com/men/default.htm","Leonardo's Vitruvian Man Close to Modern Measures","https://www.webmd.com/men/news/20200610/leonardos-vitruvian-man-close-to-modern-measures","Leonardo's Vitruvian Man Close to Modern Measures","null","TUESDAY, June 9, 2020 (HealthDay News) -- More than five centuries ago, Renaissance master Leonardo da Vinci produced a now-famous image of what he considered the perfectly proportioned male body: the ""Vitruvian Man.""","Still, Thomas' group gave the Renaissance genius some slack, noting that in the 15th century, scientific calculations of population averages simply didn't exist, and Tuscan men's measurements could very well differ from those of today's young American men."
"1597635359-425","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Sex & Relationships","https://www.webmd.com/sex-relationships/default.htm","More Young Americans Are Going Without Sex","https://www.webmd.com/sex-relationships/news/20200612/more-young-americans-are-going-without-sex","More Young Americans Are Going Without Sex","null","FRIDAY, June 12, 2020 (HealthDay News) -- Sex, and lots of it, has long been the primary preoccupation of young adults, but more of them are now going months and years without any intimate encounters.","""While the mean sexual frequency among those who were sexually active may reflect their priorities and preferences, sexual inactivity may reflect an absence of sexually intimate relationships, with substantially different implications for public health and society,"" Ueda said."
"1597635318-405","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Sex & Relationships","https://www.webmd.com/sex-relationships/default.htm","Many Teens Suffer 'Digital Dating Abuse'","https://www.webmd.com/sex-relationships/news/20200219/texting-trauma-many-teens-suffer-digital-dating-abuse","Many Teens Suffer 'Digital Dating Abuse'","By Amy Norton 
HealthDay Reporter","WEDNESDAY, Feb. 19, 2020 (HealthDay News) -- Many U.S. teenagers may be using their smartphones to harass, humiliate or otherwise abuse their dating partners.","While teen dating abuse has long been a problem, digital technology has opened up new ways for it to happen, according to lead researcher Sameer Hinduja, co-director of the Cyberbullying Research Center and a professor of criminology at Florida Atlantic University."
"1597634708-329","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Teen Boys","https://teens.webmd.com/boys/default.htm","Stress-Prone Teen Boys May Risk High BP Later","https://teens.webmd.com/boys/news/20160201/stress-prone-teen-males-may-be-at-risk-of-high-blood-pressure-later","Stress-Prone Teen Boys May Risk High BP Later","By Robert Preidt","","If confirmed, the findings ""may help inform more effective prevention interventions by addressing psychosocial risk factors and stress management across the lifespan,"" study author Dr. Casey Crump, from Icahn School of Medicine at Mount Sinai in New York City, and colleagues said in a journal news release."
"1597634708-328","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Teen Boys","https://teens.webmd.com/boys/default.htm","Stress-Prone Teen Boys May Risk High BP Later","https://teens.webmd.com/boys/news/20160201/stress-prone-teen-males-may-be-at-risk-of-high-blood-pressure-later","Stress-Prone Teen Boys May Risk High BP Later","By Robert Preidt","","The study was published online Feb. 1 in the journal Heart."
"1597635134-395","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Balance","https://www.webmd.com/balance/default.htm","Many Stay Optimistic for Most of Their Lives","https://www.webmd.com/balance/news/20200806/many-stay-optimistic-until-old-age-hits","Many Stay Optimistic for Most of Their Lives","By Robert Preidt 
HealthDay Reporter","THURSDAY, Aug. 6, 2020 (HealthDay News) -- People tend to be optimistic for most of their life, even when they have to cope with serious challenges, a new study finds.","""Counterintuitively -- and most surprising -- we found that really hard things like deaths and divorce really didn't change a person's outlook to the future,"" Chopik said. ""This shows that a lot of people likely subscribe to the 'life is short' mantra and realize they should focus on things that make them happy and maintain emotional balance."""
"1597635318-404","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Sex & Relationships","https://www.webmd.com/sex-relationships/default.htm","Many Teens Suffer 'Digital Dating Abuse'","https://www.webmd.com/sex-relationships/news/20200219/texting-trauma-many-teens-suffer-digital-dating-abuse","Many Teens Suffer 'Digital Dating Abuse'","By Amy Norton 
HealthDay Reporter","WEDNESDAY, Feb. 19, 2020 (HealthDay News) -- Many U.S. teenagers may be using their smartphones to harass, humiliate or otherwise abuse their dating partners.","That's according to a recent national survey of teens who'd been in a romantic relationship in the past year. Researchers found that 28% had been victims of ""digital dating abuse"" -- surprisingly, with boys being targets more often than girls."
"1597635586-461","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Food & Recipes","https://www.webmd.com/food-recipes/default.htm","Hundreds Sickened by Parasite in Bagged Salad","https://www.webmd.com/food-recipes/food-poisoning/news/20200727/hundreds-sickened-by-parasite-in-bagged-salad","Hundreds Sickened by Parasite in Bagged Salad","July 27, 2020 -- An outbreak in bagged salads has sickened 641 people in 11 states, the FDA says.","null","An FDA investigation continues, but the agency says iceberg lettuce, carrots, and red cabbage are “items of interest” to the investigation."
"1597634655-300","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Teen Boys","https://teens.webmd.com/boys/default.htm","Front-of-Head Hits Blamed for Nearly Half of Young Football Player Concussions","https://teens.webmd.com/boys/news/20140811/front-of-head-hits-blamed-for-nearly-half-of-young-football-player-concussions","Front-of-Head Hits and Young Football Players","By Randy Dotinga","MONDAY, Aug. 11, 2014 (HealthDay News) -- High school football players are more likely to lose consciousness after concussions if they get hit at the top of the head compared to the sides, back or front, according to a new study.","And nearly half of all concussions suffered by high school players occur from player-to-player collisions on the front of the head, the researchers found."
"1597635134-400","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Balance","https://www.webmd.com/balance/default.htm","Many Stay Optimistic for Most of Their Lives","https://www.webmd.com/balance/news/20200806/many-stay-optimistic-until-old-age-hits","Many Stay Optimistic for Most of Their Lives","By Robert Preidt 
HealthDay Reporter","THURSDAY, Aug. 6, 2020 (HealthDay News) -- People tend to be optimistic for most of their life, even when they have to cope with serious challenges, a new study finds.","But as people move into old age, optimism can decline, likely due to health concerns and knowing that most of their life is behind them."
"1597634785-338","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Men's Health","https://www.webmd.com/men/default.htm","The Pros and Cons of Testosterone Therapy","https://www.webmd.com/men/features/testosterone-therapy-pros-cons","The Pros and Cons of Testosterone Therapy","","null","Testosterone, a hormone, helps men maintain muscle, bone health, libido, and the ability to perform in the bedroom. But beginning in their mid-30s, men lose an average of just under 2% per year. Eventually, that drop could lead to hypogonadism, or low testosterone. This happens to 1 in 5 men in their 60s, and the likelihood rises as men get older. Testosterone replacement treatment (TRT) aims to boost those low levels back up."
