web-scraper-order,web-scraper-start-url,house_listings,house_listings-href,rental,rooms,bath,area,address,type,Description,listing_agent_name,listing_agent_phone,parking,date_available,cooling,heating,pets,deposit,laundry,image_url-src
1598219023-141,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"Remington Square, 1 Bedroom",https://www.zillow.com/homedetails/4100-W-24th-Pl-65NH1B7NU-Lawrence-KS-66047/2083771537_zpid/,$580+,1,1,528,,Apartment for rent,"Looking for centrally-located Lawrence apartments for rent? Remington Square offers studio-style apartments with easy access to The University of Kansas, major freeways, and the city bus routes. Our cat and dog friendly community offers upgraded amenities for all our tenant to enjoy like a fitness center, pool with sundeck, and spacious resident lounge. Contact Remington Square today and schedule a personal tour of our available rentals in Lawrence, KS. Remington Square's Lawrence apartments for rent offer a variety of amenities for our residents enjoyment including an outdoor pool, resident lounge with free wi-fi, laundry facility, and fitness center. With a friendly on-site staff and reliable maintenance included, we offer the best overall value in Lawrence!",Leasing Agent,(785) 432-4480,None,Contact manager,Contact manager,Contact manager,"Cats, large dogs, small dogs",Contact manager,Shared,https://photos.zillowstatic.com/p_e/ISblmo5o391yex0000000000.jpg
1598218934-105,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"705 Arkansas St APT B, Lawrence, KS 66044",https://www.zillow.com/homedetails/705-Arkansas-St-APT-B-Lawrence-KS-66044/2101146828_zpid/,$950 ,2,2,"1,000","Lawrence, KS 66044",Townhouse for rent,"We DO NOT ADVERTISE ON CRAIGSLIST!! If you see this unit on Craigslist it is a SCAM!! We do not advertise on Craigslist, Facebook Marketplace, Letgo, or Social Serve.Get on the waiting list here: Two bedroom, two bath duplex available in Lawrence, KS! New clean carpet, newer paint and vinyl flooring throughout. Open floor plan between the kitchen, dining and living room areas. Large master suite with private full bathroom and walk-in closet upstairs and one bedroom on the main level with lots of closet space. One car garage, no basement. Tenant pays all utilities, lawn care provided. In unit laundry room hook-ups on the main level, washer and dryer provided (not warrantied). You don't want to miss this one! We never encourage anyone to apply for a home before seeing the inside of any property, as the $35 application fee is non-refundable. Without first touring the home, you truly will not know if it is going to work for you. Offered by Ad Astra Realty, Inc. 12 month minimum lease required. Kitchen appliances included. Tenant pays all utilities and lawn care. No smoking allowed in home, garage or basement (if applicable). Pets allowed with additional non refundable fee of $300 plus base pet rent $30/mo rent increase for the first pet and an additional $15 for each additional pet. All pets are screened and accepted on a case by case basis, some breed restrictions apply and pet rent may vary depending on the size of your animal. Application fee is $35 per a person and is non-refundable. We do require a credit and background check for every occupant over the age of 18. Applying for a property and paying a $35 non-refundable application fee before viewing it, is completely at your discretion. We do not have any owners that accept housing vouchers at this time. Visit the website for more information and to schedule an appointment! Rental Terms: Rent: $950, Application Fee: $35, Security Deposit: $950, Available Now Pet Policy: Cats allowed, Dogs allowed Contact us to schedule a showing.",Ad Astra Realty,(913) 914-8431,None,Available now,Other,Forced air,"Cats, large dogs, small dogs",$950 ,Contact manager,
1598219039-147,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"Pinnacle Woods | 5000 Clinton Pkwy, Lawrence, KS",https://www.zillow.com/b/pinnacle-woods-lawrence-ks-5XndCt/,null,null,null,null,,null,null,Jason  Davis,(785) 403-0060,null,null,null,null,null,null,null,https://photos.zillowstatic.com/p_e/ISblmo5o391yex0000000000.jpg
1598218828-56,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"1647 University Dr, Lawrence, KS 66044",https://www.zillow.com/homedetails/1647-University-Dr-Lawrence-KS-66044/74579600_zpid/,"$1,950 ",4,3,"2,400","1647 University Dr,",House for rent,"Comfy home in fantastic neighborhood! Main floor office with lots of light. 4 large bedrooms, sunroom, remodeled kitchen, hardwood floors, and more. Large living areas, large yard, and plenty of parking. Updated windows & stainless steel appliances. Perfect for you! Located in one of the best neighborhoods in Lawrence. Very safe. No loud college parties - professors from KU live in this area. Serious inquires only.",Frank altomare,(913) 526-3857,Detached Garage,Available now,Other,Forced air,Contact manager,"$1,950 ",In Unit,
1598218979-127,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"Fairway Flats | 1525 Birdie Way, Lawrence, KS",https://www.zillow.com/b/fairway-flats-lawrence-ks-Bf4Qzb/,null,null,null,null,,null,null,Lincoln Property Company,(913) 586-2488,null,null,null,null,null,null,null,https://photos.zillowstatic.com/p_e/ISblmo5o391yex0000000000.jpg
1598218956-118,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"616 Eldridge St, Lawrence, KS 66049",https://www.zillow.com/homedetails/616-Eldridge-St-Lawrence-KS-66049/217708936_zpid/,$900 ,2,1,"1,050",,Townhouse for rent,"Great neighborhood on a low traffic street. Close to restaurants, shopping, schools and parks. Pets welcome with additional deposit and rent. Private Washer and dryer hookups on 2nd level. Wood burning fireplace. Combination of carpet and hard surface flooring. Cute patio in the back yard. Owner takes care of mowing and lawn and Tenant pays utilities.",Property Manager  Lawrence,(203) 457-3124,1 space,1-Sep,Contact manager,Other,Contact manager,$900 ,Contact manager,https://photos.zillowstatic.com/p_e/ISblmo5o391yex0000000000.jpg
1598218871-76,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"310 Stoneridge Ct, Lawrence, KS 66049",https://www.zillow.com/homedetails/310-Stoneridge-Ct-Lawrence-KS-66049/217731992_zpid/,"$3,800 ",5,3.5,"3,310","310 Stoneridge Ct,",House for rent,"New construction available for purchase or lease Oct 1! 5 bedroom, 3.5 bath, 3 car garage at the end of a cul-de-sac. Hardwood floors on main floor, quartz countertops, giant butler's pantry, vaulted ceiling in main living space. Loaded with trim detail and custom touches! 2 year lease minimum. Tenant is responsible for utilities.",Heidi  Minnis,(785) 551-0050,Detached Garage,1-Oct,Other,Forced air,Small dogs,"$3,800 ",In Unit,
1598218951-113,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"4808 W 25th St, Lawrence, KS 66047",https://www.zillow.com/homedetails/4808-W-25th-St-Lawrence-KS-66047/74565614_zpid/,"$1,500 ",4,2,"1,664","4808 W 25th St,",House for rent,Available October 1 or earlier. Close access to Topeka and Kansas City! Also just down the street from Sunflower Elementary and Southwest MIddle Schools. Large lot and fenced back yard. Call --no email--785/766-3934 to set up a showing. Tenant responsible for all utilities,Chris Schmid,(785) 428-0667,2 spaces,1-Oct,Other,Forced air,Contact manager,"$1,500 ",In Unit,
1598218899-90,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"2324 Ranch St, Lawrence, KS 66047",https://www.zillow.com/homedetails/2324-Ranch-St-Lawrence-KS-66047/217725442_zpid/,"$1,600 ",4,3.5,"2,000",,House for rent,"4 bedroom 3.5 bath, double car garage, fenced in yard, fireplace, walkout basement. Fresh carpet and paint! Won't last long!",Tenant Turner contact for unit 367681,(620) 254-8944,2 spaces,1-Sep,Central,Forced air,Contact manager,"$1,000 ",Contact manager,https://photos.zillowstatic.com/p_e/ISblmo5o391yex0000000000.jpg
1598218911-96,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"Jayhawk Apartments - A6, A6",https://www.zillow.com/homedetails/1030-Missouri-St-A6-Lawrence-KS-66044/2078280466_zpid/,"$1,260+",2,2,986,,Apartment for rent,"This charming property has just undergone a comprehensive renovation! Brand new finishes, a washer and dryer in-unit and off-street parking is now available at one of the most convenient locations in Lawrence! - The Jayhawk Apartments are positioned in the heart of KU's campus, across the street from historic Memorial Stadium, and a few blocks west of vibrant, downtown Lawrence. Everything a student could want is within a short walk, and the view cannot be beat. - Please inquire right away as this property is filling up. We will follow up with answers to any questions you may have and a link to our online application. Securing your new home for Fall of 2020 is just a few clicks away!",Jayhawk Apts Listing Agent,(816) 354-1082,None,1-Sep,Other,Forced air,Contact manager,"$1,260 ",Contact manager,https://photos.zillowstatic.com/p_e/ISblmo5o391yex0000000000.jpg
1598218928-103,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"900 Delaware St, Lawrence, KS 66044",https://www.zillow.com/homedetails/900-Delaware-St-Lawrence-KS-66044/312449496_zpid/,$896 ,2,2,878,,Apartment for rent,"9 Del Lofts has a 2 bedroom loft available. 9 Del Lofts offers Market Rate Lofts and Affordable Housing Lofts with income restrictions. Please call for details about qualifications for affordable housing. All Lofts feature; Stainless Steel appliance's, Granite Countertops, Dark Espresso Cabinets, and Ceiling fans. 9 Del Lofts features'; On Site laundry (located on each floor), fitness center, game room and a community room all with internet access. Please call for additional information. 9 Del Lofts pays water, trash, sewer and recycling. Resident pays electric.",9 Del Lofts,(785) 856-5657,None,Contact manager,Other,Forced air,"Cats, large dogs, small dogs",$300 ,Shared,https://photos.zillowstatic.com/p_e/ISblmo5o391yex0000000000.jpg
1598219019-138,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"The Rockland | 1301 W 24th St, Lawrence, KS",https://www.zillow.com/b/the-rockland-lawrence-ks-5XqRkY/,null,null,null,null,,null,null,Leasing Agent,(785) 246-5522,null,null,null,null,null,null,null,https://photos.zillowstatic.com/p_e/ISblmo5o391yex0000000000.jpg
1598218877-78,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"1027 Mississippi Street - 11, 11",https://www.zillow.com/homedetails/1027-Mississippi-St-11-Lawrence-KS-66044/2078995819_zpid/,$525+,1,1,600,"1027 Mississippi Street - 11, 1027 Mississippi St #11,",Apartment for rent,Great 1 bedroom right next to Memorial Stadium!,Tenant Turner contact for unit 364189,(620) 264-8642,None,Available now,Contact manager,Contact manager,Contact manager,$525 ,Contact manager,
1598218854-69,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"3543 Morning Dove Cir, Lawrence, KS 66049",https://www.zillow.com/homedetails/3543-Morning-Dove-Cir-Lawrence-KS-66049/74574624_zpid/,"$1,200 ",3,2,"1,311","Lawrence, KS 66049",Townhouse for rent,"Attractive 3 bedroom townhouse with main level bedroom and laundry, 2 more bedrooms up, 2 full baths and 2 car garage. Wood laminate flooring throughout the main level. All with a fenced back yard and a nice side patio off dining area to sit and enjoy the day. Tenant is responsible for all lawn care and snow removal, must a minimum credit score of 700. Tenant responsible for gas, water, electric utility, etc.",Leon,null,2 spaces,Available now,Other,Forced air,Cats,"$1,200 ",In Unit,
